Date,True_production,Forecast
2021-02-08_1,0.0,1.9925593
2021-02-08_2,0.0,0.20551096
2021-02-08_3,0.0,0.0
2021-02-08_4,0.0,0.0
2021-02-08_5,0.0,0.0
2021-02-08_6,0.0,0.0
2021-02-08_7,0.0,4.6527767
2021-02-08_8,8.069999999999993,30.806952
2021-02-08_9,20.180000000000007,52.92441
2021-02-08_10,34.77999999999997,65.89771
2021-02-08_11,23.129999999999995,56.684452
2021-02-08_12,11.38999999999993,37.81632
2021-02-08_13,19.760000000000048,31.80808
2021-02-08_14,9.199999999999989,20.41123
2021-02-08_15,2.2000000000000455,3.287176
2021-02-08_16,0.0,0.0
2021-02-08_17,0.0,0.0
2021-02-08_18,0.0,3.0956476
2021-02-08_19,0.0,5.27326
2021-02-08_20,0.0,4.6892757
2021-02-08_21,0.0,4.4287777
2021-02-08_22,0.0,4.691229
2021-02-08_23,0.0,4.8710995
2021-02-09_0,0.0,5.540777
2021-02-09_1,0.0,1.979803
2021-02-09_2,0.0,0.0
2021-02-09_3,0.0,2.8432672
2021-02-09_4,0.0,0.0
2021-02-09_5,0.0,0.0
2021-02-09_6,0.0,10.066351
2021-02-09_7,0.0,153.07184
2021-02-09_8,14.339999999999918,129.70035
2021-02-09_9,26.46999999999997,55.020603
2021-02-09_10,34.44,70.91758
2021-02-09_11,19.129999999999995,63.518223
2021-02-09_12,57.13999999999993,25.153204
2021-02-09_13,19.31000000000006,56.53165
2021-02-09_14,10.680000000000064,16.403845
2021-02-09_15,2.6900000000000546,2.3942926
2021-02-09_16,0.0,0.0
2021-02-09_17,0.0,0.48950756
2021-02-09_18,0.0,4.141241
2021-02-09_19,0.0,5.250677
2021-02-09_20,0.0,4.7863216
2021-02-09_21,0.0,4.4650936
2021-02-09_22,0.0,4.7079525
2021-02-09_23,0.0,4.897894
2021-02-10_0,0.0,5.5504208
2021-02-10_1,0.0,0.56000316
2021-02-10_2,0.0,0.0
2021-02-10_3,0.0,0.0
2021-02-10_4,0.0,0.0
2021-02-10_5,0.0,0.0
2021-02-10_6,0.0,0.0
2021-02-10_7,0.0,70.02778
2021-02-10_8,1.7000000000000455,48.563206
2021-02-10_9,13.779999999999973,37.35947
2021-02-10_10,21.55000000000001,51.14002
2021-02-10_11,34.80000000000001,34.60953
2021-02-10_12,28.739999999999952,34.527836
2021-02-10_13,39.97000000000003,34.24036
2021-02-10_14,10.620000000000005,36.110203
2021-02-10_15,3.919999999999959,2.4180963
2021-02-10_16,0.0,0.0
2021-02-10_17,0.0,0.0
2021-02-10_18,0.0,3.330694
2021-02-10_19,0.0,5.187811
2021-02-10_20,0.0,4.7081966
2021-02-10_21,0.0,4.45545
2021-02-10_22,0.0,4.573065
2021-02-10_23,0.0,4.870001
2021-02-11_0,0.0,5.522772
2021-02-11_1,0.0,1.9360408
2021-02-11_2,0.0,0.252447
2021-02-11_3,0.0,0.0
2021-02-11_4,0.0,0.0
2021-02-11_5,0.0,0.0
2021-02-11_6,0.0,0.0
2021-02-11_7,0.0,9.897863
2021-02-11_8,0.0,33.122684
2021-02-11_9,1.1100000000000136,40.29639
2021-02-11_10,2.82000000000005,41.84064
2021-02-11_11,0.0,23.83756
2021-02-11_12,0.0,19.977911
2021-02-11_13,0.0,23.324377
2021-02-11_14,0.0,8.780493
2021-02-11_15,0.0,0.0
2021-02-11_16,0.0,0.0
2021-02-11_17,0.0,0.0
2021-02-11_18,0.0,2.6369073
2021-02-11_19,0.0,5.153509
2021-02-11_20,0.0,4.6644344
2021-02-11_21,0.0,4.4107723
2021-02-11_22,0.0,4.5294857
2021-02-11_23,0.0,5.0183163
2021-02-12_0,0.0,5.951971
2021-02-12_1,0.0,1.1271418
2021-02-12_2,0.0,0.0
2021-02-12_3,0.0,0.0
2021-02-12_4,0.0,0.0
2021-02-12_5,0.0,0.0
2021-02-12_6,0.0,0.0
2021-02-12_7,0.0,41.152225
2021-02-12_8,0.0,32.678074
2021-02-12_9,4.440000000000055,40.495396
2021-02-12_10,24.289999999999964,38.1937
2021-02-12_11,8.309999999999945,38.884617
2021-02-12_12,0.8899999999999864,18.21137
2021-02-12_13,1.5,20.519903
2021-02-12_14,0.0,8.786016
2021-02-12_15,0.0,0.0
2021-02-12_16,0.0,0.0
2021-02-12_17,0.0,0.0
2021-02-12_18,0.0,4.9057674
2021-02-12_19,0.0,5.258978
2021-02-12_20,0.0,5.3172054
2021-02-12_21,0.0,5.243658
2021-02-12_22,0.0,4.903509
2021-02-12_23,0.0,5.388983
2021-02-13_0,0.0,6.0846004
2021-02-13_1,0.0,2.5750787
2021-02-13_2,0.0,0.68408763
2021-02-13_3,0.0,0.0
2021-02-13_4,0.0,0.0
2021-02-13_5,0.0,0.0
2021-02-13_6,0.0,0.0
2021-02-13_7,0.0,17.376501
2021-02-13_8,0.0,33.35526
2021-02-13_9,0.0,41.061924
2021-02-13_10,0.0,37.684025
2021-02-13_11,0.0,23.65241
2021-02-13_12,2.2899999999999636,19.561834
2021-02-13_13,2.4400000000000546,24.47492
2021-02-13_14,0.0,10.712988
2021-02-13_15,0.0,0.0
2021-02-13_16,0.0,0.0
2021-02-13_17,0.0,0.0
2021-02-13_18,0.0,2.5595758
2021-02-13_19,0.0,5.1419125
2021-02-13_20,0.0,4.6814632
2021-02-13_21,0.0,4.413336
2021-02-13_22,0.0,4.550787
2021-02-13_23,0.0,4.8176327
2021-02-14_0,0.0,5.5642757
2021-02-14_1,0.0,2.0382135
2021-02-14_2,0.0,0.40216625
2021-02-14_3,0.0,0.0
2021-02-14_4,0.0,0.0
2021-02-14_5,0.0,0.0
2021-02-14_6,0.0,0.0
2021-02-14_7,0.0,14.765814
2021-02-14_8,0.0,33.435886
2021-02-14_9,1.6200000000000045,42.123295
2021-02-14_10,7.779999999999973,43.8259
2021-02-14_11,32.960000000000036,30.69428
2021-02-14_12,79.34000000000003,47.911015
2021-02-14_13,101.62,86.12592
